Saving all results to: /home/administrator/FYP/RL-baselines/results/dyna_q/run_20260501_112940
Starting Dyna-Q Training on CliffWalking-v1 for 100000 episodes...
Episode 15200/100000 | Exploratory train avg (Last 100): -63.84 | Greedy eval avg: -13.00
Episode 15300/100000 | Exploratory train avg (Last 100): -78.86 | Greedy eval avg: -13.00
Episode 15400/100000 | Exploratory train avg (Last 100): -73.57 | Greedy eval avg: -13.00
Episode 15500/100000 | Exploratory train avg (Last 100): -51.21 | Greedy eval avg: -13.00
Episode 15600/100000 | Exploratory train avg (Last 100): -61.92 | Greedy eval avg: -13.00
Episode 15700/100000 | Exploratory train avg (Last 100): -57.60 | Greedy eval avg: -13.00
Episode 15800/100000 | Exploratory train avg (Last 100): -53.89 | Greedy eval avg: -13.00
Episode 15900/100000 | Exploratory train avg (Last 100): -56.61 | Greedy eval avg: -13.00
Episode 16000/100000 | Exploratory train avg (Last 100): -72.18 | Greedy eval avg: -13.00
Episode 16100/100000 | Exploratory train avg (Last 100): -77.72 | Greedy eval avg: -13.00
Episode 16200/100000 | Exploratory train avg (Last 100): -67.58 | Greedy eval avg: -13.00
Episode 16300/100000 | Exploratory train avg (Last 100): -54.41 | Greedy eval avg: -13.00
Episode 16400/100000 | Exploratory train avg (Last 100): -68.33 | Greedy eval avg: -13.00
Episode 16500/100000 | Exploratory train avg (Last 100): -79.87 | Greedy eval avg: -13.00
Episode 16600/100000 | Exploratory train avg (Last 100): -59.66 | Greedy eval avg: -13.00
Episode 16700/100000 | Exploratory train avg (Last 100): -63.74 | Greedy eval avg: -13.00
Episode 16800/100000 | Exploratory train avg (Last 100): -62.90 | Greedy eval avg: -13.00
Episode 16900/100000 | Exploratory train avg (Last 100): -57.80 | Greedy eval avg: -13.00
Episode 17000/100000 | Exploratory train avg (Last 100): -56.16 | Greedy eval avg: -13.00
Episode 17100/100000 | Exploratory train avg (Last 100): -59.09 | Greedy eval avg: -13.00
Episode 17200/100000 | Exploratory train avg (Last 100): -73.32 | Greedy eval avg: -13.00
Episode 17300/100000 | Exploratory train avg (Last 100): -66.15 | Greedy eval avg: -13.00
Episode 17400/100000 | Exploratory train avg (Last 100): -77.49 | Greedy eval avg: -13.00
Episode 17500/100000 | Exploratory train avg (Last 100): -53.70 | Greedy eval avg: -13.00
Episode 17600/100000 | Exploratory train avg (Last 100): -61.79 | Greedy eval avg: -13.00
Episode 17700/100000 | Exploratory train avg (Last 100): -45.74 | Greedy eval avg: -13.00
Episode 17800/100000 | Exploratory train avg (Last 100): -57.05 | Greedy eval avg: -13.00
Episode 17900/100000 | Exploratory train avg (Last 100): -54.80 | Greedy eval avg: -13.00
Episode 18000/100000 | Exploratory train avg (Last 100): -58.34 | Greedy eval avg: -13.00
Episode 18100/100000 | Exploratory train avg (Last 100): -63.88 | Greedy eval avg: -13.00
Episode 18200/100000 | Exploratory train avg (Last 100): -68.32 | Greedy eval avg: -13.00
Episode 18300/100000 | Exploratory train avg (Last 100): -48.01 | Greedy eval avg: -13.00
Episode 18400/100000 | Exploratory train avg (Last 100): -45.52 | Greedy eval avg: -13.00
Episode 18500/100000 | Exploratory train avg (Last 100): -58.49 | Greedy eval avg: -13.00
Episode 18600/100000 | Exploratory train avg (Last 100): -54.14 | Greedy eval avg: -13.00
Episode 18700/100000 | Exploratory train avg (Last 100): -58.85 | Greedy eval avg: -13.00
Episode 18800/100000 | Exploratory train avg (Last 100): -57.08 | Greedy eval avg: -13.00
Episode 18900/100000 | Exploratory train avg (Last 100): -60.42 | Greedy eval avg: -13.00
Episode 19000/100000 | Exploratory train avg (Last 100): -60.45 | Greedy eval avg: -13.00
Episode 19100/100000 | Exploratory train avg (Last 100): -55.30 | Greedy eval avg: -13.00
Episode 19200/100000 | Exploratory train avg (Last 100): -62.35 | Greedy eval avg: -13.00
Episode 19300/100000 | Exploratory train avg (Last 100): -44.41 | Greedy eval avg: -13.00
Episode 19400/100000 | Exploratory train avg (Last 100): -49.56 | Greedy eval avg: -13.00
Episode 19500/100000 | Exploratory train avg (Last 100): -55.97 | Greedy eval avg: -13.00
Episode 19600/100000 | Exploratory train avg (Last 100): -68.27 | Greedy eval avg: -13.00
Episode 19700/100000 | Exploratory train avg (Last 100): -59.28 | Greedy eval avg: -13.00
Episode 19800/100000 | Exploratory train avg (Last 100): -64.37 | Greedy eval avg: -13.00
Episode 19900/100000 | Exploratory train avg (Last 100): -56.73 | Greedy eval avg: -13.00
Episode 20000/100000 | Exploratory train avg (Last 100): -52.18 | Greedy eval avg: -13.00
Episode 20100/100000 | Exploratory train avg (Last 100): -51.94 | Greedy eval avg: -13.00
Episode 20200/100000 | Exploratory train avg (Last 100): -50.38 | Greedy eval avg: -13.00
Episode 20300/100000 | Exploratory train avg (Last 100): -44.38 | Greedy eval avg: -13.00
Episode 20400/100000 | Exploratory train avg (Last 100): -64.88 | Greedy eval avg: -13.00
Episode 20500/100000 | Exploratory train avg (Last 100): -55.14 | Greedy eval avg: -13.00
Episode 20600/100000 | Exploratory train avg (Last 100): -54.22 | Greedy eval avg: -13.00
Episode 20700/100000 | Exploratory train avg (Last 100): -70.46 | Greedy eval avg: -13.00
Episode 20800/100000 | Exploratory train avg (Last 100): -49.94 | Greedy eval avg: -13.00
Episode 20900/100000 | Exploratory train avg (Last 100): -60.47 | Greedy eval avg: -13.00
Episode 21000/100000 | Exploratory train avg (Last 100): -49.49 | Greedy eval avg: -13.00
Episode 21100/100000 | Exploratory train avg (Last 100): -62.04 | Greedy eval avg: -13.00
Episode 21200/100000 | Exploratory train avg (Last 100): -57.10 | Greedy eval avg: -13.00
Episode 21300/100000 | Exploratory train avg (Last 100): -46.15 | Greedy eval avg: -13.00
Episode 21400/100000 | Exploratory train avg (Last 100): -71.86 | Greedy eval avg: -13.00
Episode 21500/100000 | Exploratory train avg (Last 100): -49.47 | Greedy eval avg: -13.00
Episode 21600/100000 | Exploratory train avg (Last 100): -54.75 | Greedy eval avg: -13.00
Episode 21700/100000 | Exploratory train avg (Last 100): -44.55 | Greedy eval avg: -13.00
Episode 21800/100000 | Exploratory train avg (Last 100): -52.71 | Greedy eval avg: -13.00
Episode 21900/100000 | Exploratory train avg (Last 100): -54.84 | Greedy eval avg: -13.00
Episode 22000/100000 | Exploratory train avg (Last 100): -50.06 | Greedy eval avg: -13.00
Episode 22100/100000 | Exploratory train avg (Last 100): -67.39 | Greedy eval avg: -13.00
Episode 22200/100000 | Exploratory train avg (Last 100): -53.85 | Greedy eval avg: -13.00
Episode 22300/100000 | Exploratory train avg (Last 100): -47.25 | Greedy eval avg: -13.00
Episode 22400/100000 | Exploratory train avg (Last 100): -49.40 | Greedy eval avg: -13.00
Episode 22500/100000 | Exploratory train avg (Last 100): -51.61 | Greedy eval avg: -13.00
Episode 22600/100000 | Exploratory train avg (Last 100): -65.13 | Greedy eval avg: -13.00
Episode 22700/100000 | Exploratory train avg (Last 100): -55.21 | Greedy eval avg: -13.00
Episode 22800/100000 | Exploratory train avg (Last 100): -50.44 | Greedy eval avg: -13.00
Episode 22900/100000 | Exploratory train avg (Last 100): -56.67 | Greedy eval avg: -13.00
Episode 23000/100000 | Exploratory train avg (Last 100): -57.20 | Greedy eval avg: -13.00
Episode 23100/100000 | Exploratory train avg (Last 100): -50.09 | Greedy eval avg: -13.00
Episode 23200/100000 | Exploratory train avg (Last 100): -43.57 | Greedy eval avg: -13.00
Episode 23300/100000 | Exploratory train avg (Last 100): -49.28 | Greedy eval avg: -13.00
Episode 23400/100000 | Exploratory train avg (Last 100): -60.86 | Greedy eval avg: -13.00
Episode 23500/100000 | Exploratory train avg (Last 100): -58.83 | Greedy eval avg: -13.00
Episode 23600/100000 | Exploratory train avg (Last 100): -52.58 | Greedy eval avg: -13.00
Episode 23700/100000 | Exploratory train avg (Last 100): -54.47 | Greedy eval avg: -13.00
Episode 23800/100000 | Exploratory train avg (Last 100): -52.25 | Greedy eval avg: -13.00
Episode 23900/100000 | Exploratory train avg (Last 100): -50.93 | Greedy eval avg: -13.00
Episode 24000/100000 | Exploratory train avg (Last 100): -51.64 | Greedy eval avg: -13.00
Episode 24100/100000 | Exploratory train avg (Last 100): -45.22 | Greedy eval avg: -13.00
Episode 24200/100000 | Exploratory train avg (Last 100): -50.73 | Greedy eval avg: -13.00
Episode 24300/100000 | Exploratory train avg (Last 100): -55.06 | Greedy eval avg: -13.00
Episode 24400/100000 | Exploratory train avg (Last 100): -47.92 | Greedy eval avg: -13.00
Episode 24500/100000 | Exploratory train avg (Last 100): -54.34 | Greedy eval avg: -13.00
Episode 24600/100000 | Exploratory train avg (Last 100): -49.58 | Greedy eval avg: -13.00
Episode 24700/100000 | Exploratory train avg (Last 100): -52.77 | Greedy eval avg: -13.00
Episode 24800/100000 | Exploratory train avg (Last 100): -58.76 | Greedy eval avg: -13.00
Episode 24900/100000 | Exploratory train avg (Last 100): -53.54 | Greedy eval avg: -13.00
Episode 25000/100000 | Exploratory train avg (Last 100): -55.55 | Greedy eval avg: -13.00
Episode 25100/100000 | Exploratory train avg (Last 100): -46.10 | Greedy eval avg: -13.00
Episode 25200/100000 | Exploratory train avg (Last 100): -47.20 | Greedy eval avg: -13.00
Episode 25300/100000 | Exploratory train avg (Last 100): -42.83 | Greedy eval avg: -13.00
Episode 25400/100000 | Exploratory train avg (Last 100): -44.01 | Greedy eval avg: -13.00
Episode 25500/100000 | Exploratory train avg (Last 100): -36.89 | Greedy eval avg: -13.00
Episode 25600/100000 | Exploratory train avg (Last 100): -50.70 | Greedy eval avg: -13.00
Episode 25700/100000 | Exploratory train avg (Last 100): -45.25 | Greedy eval avg: -13.00
Episode 25800/100000 | Exploratory train avg (Last 100): -55.53 | Greedy eval avg: -13.00
Episode 25900/100000 | Exploratory train avg (Last 100): -35.52 | Greedy eval avg: -13.00
Episode 26000/100000 | Exploratory train avg (Last 100): -47.06 | Greedy eval avg: -13.00
Episode 26100/100000 | Exploratory train avg (Last 100): -50.47 | Greedy eval avg: -13.00
Episode 26200/100000 | Exploratory train avg (Last 100): -48.69 | Greedy eval avg: -13.00
Episode 26300/100000 | Exploratory train avg (Last 100): -45.75 | Greedy eval avg: -13.00
Episode 26400/100000 | Exploratory train avg (Last 100): -48.46 | Greedy eval avg: -13.00
Episode 26500/100000 | Exploratory train avg (Last 100): -47.11 | Greedy eval avg: -13.00
Episode 26600/100000 | Exploratory train avg (Last 100): -38.63 | Greedy eval avg: -13.00
Episode 26700/100000 | Exploratory train avg (Last 100): -37.16 | Greedy eval avg: -13.00
Episode 26800/100000 | Exploratory train avg (Last 100): -56.70 | Greedy eval avg: -13.00
Episode 26900/100000 | Exploratory train avg (Last 100): -51.25 | Greedy eval avg: -13.00
Episode 27000/100000 | Exploratory train avg (Last 100): -50.43 | Greedy eval avg: -13.00
Episode 27100/100000 | Exploratory train avg (Last 100): -54.67 | Greedy eval avg: -13.00
Episode 27200/100000 | Exploratory train avg (Last 100): -43.52 | Greedy eval avg: -13.00
Episode 27300/100000 | Exploratory train avg (Last 100): -57.53 | Greedy eval avg: -13.00
Episode 27400/100000 | Exploratory train avg (Last 100): -47.21 | Greedy eval avg: -13.00
