Saving all outputs to: /home/administrator/FYP/RL-baselines/results/dreamer_v1/run_20260430_214910
Prefill: 1000/50000
Prefill: 2000/50000
Prefill: 3000/50000
Prefill: 4000/50000
Prefill: 5000/50000
Prefill: 6000/50000
Prefill: 7000/50000
Prefill: 8000/50000
Prefill: 9000/50000
Prefill: 10000/50000
Prefill: 11000/50000
Prefill: 12000/50000
Prefill: 13000/50000
Prefill: 14000/50000
Prefill: 15000/50000
Prefill: 16000/50000
Prefill: 17000/50000
Prefill: 18000/50000
Prefill: 19000/50000
Prefill: 20000/50000
Prefill: 21000/50000
Prefill: 22000/50000
Prefill: 23000/50000
Prefill: 24000/50000
Prefill: 25000/50000
Prefill: 26000/50000
Prefill: 27000/50000
Prefill: 28000/50000
Prefill: 29000/50000
Prefill: 30000/50000
Prefill: 31000/50000
Prefill: 32000/50000
Prefill: 33000/50000
Prefill: 34000/50000
Prefill: 35000/50000
Prefill: 36000/50000
Prefill: 37000/50000
Prefill: 38000/50000
Prefill: 39000/50000
Prefill: 40000/50000
Prefill: 41000/50000
Prefill: 42000/50000
Prefill: 43000/50000
Prefill: 44000/50000
Prefill: 45000/50000
Prefill: 46000/50000
Prefill: 47000/50000
Prefill: 48000/50000
Collected 1000 policy steps | episodes 1 | reward sum 36.83 | replay 126000
Update 7600/20000 | world 0.0013 | actor -5.0855 | value 0.0218
Collected 1000 policy steps | episodes 1 | reward sum 38.48 | replay 127000
Update 7700/20000 | world 0.0014 | actor -4.3896 | value 0.0149
Collected 1000 policy steps | episodes 1 | reward sum 33.31 | replay 128000
Update 7800/20000 | world 0.0023 | actor -5.3812 | value 0.0212
Collected 1000 policy steps | episodes 1 | reward sum 39.22 | replay 129000
Update 7900/20000 | world 0.0013 | actor -5.2458 | value 0.0147
Collected 1000 policy steps | episodes 1 | reward sum 65.60 | replay 130000
Update 8000/20000 | world 0.0013 | actor -5.2400 | value 0.0277
Collected 1000 policy steps | episodes 1 | reward sum 40.84 | replay 131000
Update 8100/20000 | world 0.0015 | actor -4.9058 | value 0.0123
Collected 1000 policy steps | episodes 1 | reward sum 8.46 | replay 132000
Update 8200/20000 | world 0.0015 | actor -5.1776 | value 0.0208
Collected 1000 policy steps | episodes 1 | reward sum 48.21 | replay 133000
Update 8300/20000 | world 0.0014 | actor -5.3254 | value 0.0195
Collected 1000 policy steps | episodes 1 | reward sum 38.06 | replay 134000
Update 8400/20000 | world 0.0014 | actor -4.9757 | value 0.0138
Collected 1000 policy steps | episodes 1 | reward sum 52.42 | replay 135000
Update 8500/20000 | world 0.0018 | actor -6.1540 | value 0.0894
Collected 1000 policy steps | episodes 1 | reward sum 51.90 | replay 136000
Update 8600/20000 | world 0.6587 | actor -3.7720 | value 0.0207
Collected 1000 policy steps | episodes 1 | reward sum 5.37 | replay 137000
Update 8700/20000 | world 0.0060 | actor -3.6549 | value 0.0035
Collected 1000 policy steps | episodes 1 | reward sum 33.45 | replay 138000
Update 8800/20000 | world 0.0041 | actor -3.4245 | value 0.0028
Collected 1000 policy steps | episodes 1 | reward sum 59.78 | replay 139000
Update 8900/20000 | world 0.0042 | actor -3.4954 | value 0.0016
Collected 1000 policy steps | episodes 1 | reward sum 51.01 | replay 140000
Update 9000/20000 | world 0.0039 | actor -3.5597 | value 0.0022
Collected 1000 policy steps | episodes 1 | reward sum 27.74 | replay 141000
Update 9100/20000 | world 0.0040 | actor -3.5739 | value 0.0013
Collected 1000 policy steps | episodes 1 | reward sum 46.88 | replay 142000
Update 9200/20000 | world 0.0043 | actor -3.5574 | value 0.0013
Collected 1000 policy steps | episodes 1 | reward sum 59.80 | replay 143000
Update 9300/20000 | world 0.0034 | actor -3.6151 | value 0.0037
Collected 1000 policy steps | episodes 1 | reward sum 54.92 | replay 144000
Update 9400/20000 | world 0.0035 | actor -3.6497 | value 0.0008
Collected 1000 policy steps | episodes 1 | reward sum 56.07 | replay 145000
Update 9500/20000 | world 0.0037 | actor -3.7080 | value 0.0010
Collected 1000 policy steps | episodes 1 | reward sum 75.13 | replay 146000
Update 9600/20000 | world 0.0044 | actor -3.8636 | value 0.0016
Collected 1000 policy steps | episodes 1 | reward sum 5.41 | replay 147000
Update 9700/20000 | world 0.0073 | actor -3.8753 | value 0.0020
Collected 1000 policy steps | episodes 1 | reward sum 61.07 | replay 148000
Update 9800/20000 | world 0.0092 | actor -3.9057 | value 0.0022
Collected 1000 policy steps | episodes 1 | reward sum 59.19 | replay 149000
Update 9900/20000 | world 0.0041 | actor -3.9427 | value 0.0014
Collected 1000 policy steps | episodes 1 | reward sum 5.00 | replay 150000
Update 10000/20000 | world 0.0037 | actor -4.0133 | value 0.0020
Collected 1000 policy steps | episodes 1 | reward sum 57.95 | replay 151000
Update 10100/20000 | world 0.0033 | actor -3.9116 | value 0.0010
Collected 1000 policy steps | episodes 1 | reward sum 57.63 | replay 152000
Update 10200/20000 | world 0.0029 | actor -3.8876 | value 0.0013
Collected 1000 policy steps | episodes 1 | reward sum 50.62 | replay 153000
Update 10300/20000 | world 0.0036 | actor -4.0444 | value 0.0012
Collected 1000 policy steps | episodes 1 | reward sum 51.31 | replay 154000
Update 10400/20000 | world 0.0029 | actor -4.2307 | value 0.0015
Collected 1000 policy steps | episodes 1 | reward sum 55.68 | replay 155000
Update 10500/20000 | world 0.0060 | actor -4.2499 | value 0.0012
Collected 1000 policy steps | episodes 1 | reward sum 6.54 | replay 156000
Update 10600/20000 | world 0.0030 | actor -4.2609 | value 0.0011
Collected 1000 policy steps | episodes 1 | reward sum 47.97 | replay 157000
Update 10700/20000 | world 0.0034 | actor -4.1858 | value 0.0014
Collected 1000 policy steps | episodes 1 | reward sum 5.70 | replay 158000
Update 10800/20000 | world 0.0033 | actor -4.5407 | value 0.0020
Collected 1000 policy steps | episodes 1 | reward sum 56.01 | replay 159000
Update 10900/20000 | world 0.0028 | actor -4.1337 | value 0.0012
Collected 1000 policy steps | episodes 1 | reward sum 13.63 | replay 160000
