Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/ddqn/run_20260501_142439
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Starting Double DQN Training for 1000000 frames...
Frame: 560000/1000000 | Epsilon: 0.50 | Avg Reward (Last 20): 0.25
Frame: 562000/1000000 | Epsilon: 0.49 | Avg Reward (Last 20): 0.30
Frame: 564000/1000000 | Epsilon: 0.49 | Avg Reward (Last 20): 0.50
Frame: 566000/1000000 | Epsilon: 0.49 | Avg Reward (Last 20): 0.40
Frame: 568000/1000000 | Epsilon: 0.49 | Avg Reward (Last 20): 0.15
Frame: 570000/1000000 | Epsilon: 0.49 | Avg Reward (Last 20): 0.10
Frame: 572000/1000000 | Epsilon: 0.49 | Avg Reward (Last 20): 0.15
Frame: 574000/1000000 | Epsilon: 0.48 | Avg Reward (Last 20): 0.25
Frame: 576000/1000000 | Epsilon: 0.48 | Avg Reward (Last 20): 0.25
Frame: 578000/1000000 | Epsilon: 0.48 | Avg Reward (Last 20): 0.30
Frame: 580000/1000000 | Epsilon: 0.48 | Avg Reward (Last 20): 0.15
Frame: 582000/1000000 | Epsilon: 0.48 | Avg Reward (Last 20): 0.30
Frame: 584000/1000000 | Epsilon: 0.47 | Avg Reward (Last 20): 0.35
Frame: 586000/1000000 | Epsilon: 0.47 | Avg Reward (Last 20): 0.20
Frame: 588000/1000000 | Epsilon: 0.47 | Avg Reward (Last 20): 0.50
Frame: 590000/1000000 | Epsilon: 0.47 | Avg Reward (Last 20): 0.35
Frame: 592000/1000000 | Epsilon: 0.47 | Avg Reward (Last 20): 0.15
Frame: 594000/1000000 | Epsilon: 0.47 | Avg Reward (Last 20): 0.10
Frame: 596000/1000000 | Epsilon: 0.46 | Avg Reward (Last 20): 0.25
Frame: 598000/1000000 | Epsilon: 0.46 | Avg Reward (Last 20): 0.35
Frame: 600000/1000000 | Epsilon: 0.46 | Avg Reward (Last 20): 0.15
Frame: 602000/1000000 | Epsilon: 0.46 | Avg Reward (Last 20): 0.20
Frame: 604000/1000000 | Epsilon: 0.46 | Avg Reward (Last 20): 0.30
Frame: 606000/1000000 | Epsilon: 0.45 | Avg Reward (Last 20): 0.30
Frame: 608000/1000000 | Epsilon: 0.45 | Avg Reward (Last 20): 0.20
Frame: 610000/1000000 | Epsilon: 0.45 | Avg Reward (Last 20): 0.25
Frame: 612000/1000000 | Epsilon: 0.45 | Avg Reward (Last 20): 0.25
Frame: 614000/1000000 | Epsilon: 0.45 | Avg Reward (Last 20): 0.45
Frame: 616000/1000000 | Epsilon: 0.45 | Avg Reward (Last 20): 0.25
Frame: 618000/1000000 | Epsilon: 0.44 | Avg Reward (Last 20): 0.15
Frame: 620000/1000000 | Epsilon: 0.44 | Avg Reward (Last 20): 0.20
Frame: 622000/1000000 | Epsilon: 0.44 | Avg Reward (Last 20): 0.20
Frame: 624000/1000000 | Epsilon: 0.44 | Avg Reward (Last 20): 0.15
Frame: 626000/1000000 | Epsilon: 0.44 | Avg Reward (Last 20): 0.25
Frame: 628000/1000000 | Epsilon: 0.43 | Avg Reward (Last 20): 0.35
Frame: 630000/1000000 | Epsilon: 0.43 | Avg Reward (Last 20): 0.05
Frame: 632000/1000000 | Epsilon: 0.43 | Avg Reward (Last 20): 0.10
Frame: 634000/1000000 | Epsilon: 0.43 | Avg Reward (Last 20): 0.25
Frame: 636000/1000000 | Epsilon: 0.43 | Avg Reward (Last 20): 0.20
Frame: 638000/1000000 | Epsilon: 0.43 | Avg Reward (Last 20): 0.50
